Review ID,FeedbackID,Text,Sentiment,Compound,Confidence(%),Pos% (global),Neg% (global),Neu% (global)
1,S134,delivery smooth item packed well extremely satisfied,pos,0.7682,67,61.1,0,38.9
2,S135,excellent finish premium feel definitely worth buying,pos,0.7234,63,57.4,0,42.6
3,S136,arrival late by a day but experience overall okay,neu,0.0469,54,26.1,17.4,56.5
4,S137,packaging dented slightly product fine inside acceptable,neu,0.0391,52,28.2,18.1,53.7
5,S138,support responded instantly smooth resolution great help,pos,0.8327,73,69.4,0,30.6
6,S139,stylish design powerful performance absolutely loved it,pos,0.8929,77,74.1,0,25.9
7,S140,true color different than advertised slightly off,neu,0.0272,51,24.3,19.7,56
8,S141,cheap build quality rattles inside very disappointed,neg,-0.7022,63,0,62.4,37.6
9,S142,app extremely laggy constant freezing terrible usability,neg,-0.3651,56,0,55.2,44.8
10,S143,super quick shipping arrived before expected time,pos,0.8438,74,67.2,0,32.8
11,S144,got damaged item screen cracked horrible experience,neg,-0.7413,61,0,58.9,41.1
12,S145,great clarity clean audio impressive sound overall,pos,0.7621,65,56.7,0,43.3
13,S146,fabric rough low quality not comfortable wearing,neg,-0.3214,52,0,53.8,46.2
14,S147,fine quality decent performance nothing extraordinary,neu,0.0354,53,27.6,17.3,55.1
15,S148,contacted customer care but no reply very bad,neg,-0.4296,55,0,54.1,45.9
16,S149,absolutely smooth device fast responsive great battery,pos,0.9141,83,63.9,0,36.1
17,S150,packaging untidy dusty but product inside acceptable,neu,0.0294,52,25.9,17.8,56.3
18,S151,very quick support fixed issue in minutes satisfied,pos,0.7868,67,48.9,0,51.1
19,S152,product okay works good but build feels slightly cheap,neu,0.0378,55,28.1,16.7,55.2
